-13.6 106.9	0.24 -44.84
-54.5 75.8	-62.60 -70.64
-10.9 329.3	-22.83 -33.51
21.8 259.7	6.53 50.01
-16.4 148.6	7.71 -43.99
-30.0 287.4	3.59 -28.99
13.6 115.3	-0.78 13.71
40.9 174.5	3.44 53.23
-16.4 351.4	-19.89 -53.91
-24.5 315.0	-20.41 -36.16
-19.1 95.8	-5.74 -54.60
-51.8 93.3	-55.94 -76.45
-57.3 15.2	-28.77 -59.29
2.7 134.7	2.03 -10.99
8.2 315.7	-18.92 15.33
13.6 205.3	9.20 27.39
-87.3 0.0	-26.04 -70.81
40.9 58.2	5.33 59.99
27.3 3.1	-0.65 36.06
57.3 263.7	2.10 80.51
54.5 142.1	-12.65 68.14
38.2 90.9	1.05 57.31
19.1 75.5	-0.91 26.17
-87.3 240.0	86.06 -72.96
-5.5 19.2	-2.54 -39.53
19.1 319.4	-16.37 31.06
30.0 173.7	5.44 42.12
-10.9 64.2	-10.27 -40.44
13.6 205.3	9.20 27.39
-35.5 218.7	19.64 -52.81
49.1 184.2	7.01 61.10
-16.4 14.3	-9.46 -58.13
5.5 274.8	1.43 30.94
-16.4 151.4	8.32 -43.49
-46.4 83.1	-50.23 -72.42
-40.9 229.1	22.73 -55.79
19.1 232.3	10.78 40.30
5.5 49.5	-0.75 -4.82
-30.0 249.5	16.78 -39.93
21.8 200.7	9.96 38.43
-5.5 44.0	-2.91 -31.65
-46.4 324.4	-13.78 -54.20
-8.2 290.8	-6.74 7.16
27.3 246.2	10.96 53.21
0.0 103.6	0.28 -18.93
-62.7 264.0	33.54 -60.84
19.1 2.9	-1.44 18.88
38.2 356.5	-2.20 52.63
65.5 26.7	9.27 76.23
21.8 333.4	-11.44 28.15
-19.1 119.0	1.94 -51.20
57.3 304.2	-26.69 75.47
-24.5 117.0	0.89 -58.48
2.7 197.9	8.95 5.78
2.7 195.1	9.01 5.21
-32.7 243.2	18.19 -44.64
51.8 222.2	20.13 69.21
46.4 142.4	-10.12 60.60
68.2 271.8	-23.85 85.79
19.1 197.4	9.50 34.36
57.3 238.3	21.83 76.72
-76.4 34.8	-48.32 -66.10
-13.6 135.0	4.35 -41.51
-5.5 305.0	-17.02 2.40
-68.2 235.1	51.00 -70.48
5.5 225.3	9.31 16.72
-32.7 0.0	-24.10 -65.80
-10.9 97.7	-2.08 -41.79
-10.9 78.1	-8.76 -41.68
-57.3 111.5	-58.91 -82.58
60.0 254.8	12.70 81.35
-27.3 40.0	-23.97 -60.31
81.8 220.0	41.59 88.19
57.3 283.9	-21.39 79.24
2.7 167.6	8.61 -4.10
35.5 349.9	-4.30 48.84
-2.7 233.6	9.55 2.46
-19.1 92.9	-7.30 -54.77
24.5 315.0	-16.38 41.78
-13.6 78.8	-10.16 -46.27
27.3 86.2	0.07 41.32
2.7 68.7	-4.02 -11.85
-5.5 211.6	9.95 -8.46
38.2 269.1	0.32 67.14
-38.2 251.7	21.40 -48.10
13.6 182.8	9.06 22.42
27.3 273.8	-1.63 57.67
43.6 181.9	6.27 56.27
76.4 69.7	34.89 84.26
30.0 72.6	1.18 46.07
8.2 185.5	9.18 13.65
-8.2 182.8	10.46 -20.62
19.1 0.0	-2.10 18.63
0.0 270.0	4.82 20.32
-27.3 150.8	10.48 -57.71
13.6 95.6	-0.76 12.90
-70.9 75.3	-79.00 -71.32
-19.1 101.6	-2.90 -53.94
-24.5 54.0	-24.10 -57.23
49.1 217.7	18.60 66.16
8.2 146.8	3.26 1.47
-27.3 116.9	0.25 -61.74
-13.6 25.3	-4.72 -52.45
62.7 180.0	4.88 72.41
46.4 106.8	-3.76 66.21
21.8 73.8	-0.44 31.75
-68.2 0.0	-19.10 -60.37
-21.8 185.9	13.61 -43.29
51.8 80.0	8.00 70.97
43.6 128.8	-9.85 60.36
-62.7 24.0	-35.48 -60.06
38.2 101.4	-1.38 57.28
62.7 96.0	5.28 79.85
16.4 71.4	-1.26 20.65
24.5 111.0	-2.09 36.15
-2.7 11.0	-4.15 -34.54
-65.5 93.3	-85.29 -76.42
-51.8 17.8	-30.10 -60.02
49.1 58.6	9.05 67.53
2.7 327.0	-18.88 -7.48
-43.6 341.1	-20.12 -60.20
-21.8 354.1	-22.20 -59.65
27.3 116.9	-3.51 40.65
73.6 58.4	28.62 82.14
79.1 180.0	8.79 85.11
51.8 280.0	-13.83 76.47
-30.0 353.7	-24.86 -63.47
57.3 319.4	-22.51 73.00
46.4 288.8	-17.04 71.38
-19.1 293.2	-5.93 -13.31
-16.4 200.0	12.15 -31.77
-2.7 85.2	-4.03 -25.94
-13.6 210.9	11.63 -24.38
-30.0 120.0	0.73 -64.27
-43.6 242.5	24.93 -55.06
57.3 35.5	9.61 72.01
-46.4 296.7	4.57 -45.07
-16.4 122.9	2.56 -46.84
57.3 20.3	4.68 71.36
8.2 66.5	-2.57 1.78
5.5 211.6	9.05 13.93
8.2 2.8	-3.34 -8.39
