tab 	magic_measurements
er_citation_names	magic_method_codes	magic_software_packages	measurement_number	measurement_standard	measurement_temp	er_sample_name	treatment_temp	magic_instrument_codes	er_location_name	measurement_flag	magic_experiment_name	er_site_name	er_specimen_name	treatment_dc_field	measurement_magn_moment	er_scientist_mail_names	measurement_lab_field_dc
This study	LP-HYS	pmagpy-1.57b	1	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.495e-08		5.001e-01
This study	LP-HYS	pmagpy-1.57b	2	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.512e-08		4.971e-01
This study	LP-HYS	pmagpy-1.57b	3	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.505e-08		4.932e-01
This study	LP-HYS	pmagpy-1.57b	4	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.513e-08		4.892e-01
This study	LP-HYS	pmagpy-1.57b	5	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.510e-08		4.851e-01
This study	LP-HYS	pmagpy-1.57b	6	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.511e-08		4.811e-01
This study	LP-HYS	pmagpy-1.57b	7	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.511e-08		4.771e-01
This study	LP-HYS	pmagpy-1.57b	8	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.523e-08		4.731e-01
This study	LP-HYS	pmagpy-1.57b	9	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.526e-08		4.691e-01
This study	LP-HYS	pmagpy-1.57b	10	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.526e-08		4.651e-01
This study	LP-HYS	pmagpy-1.57b	11	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.529e-08		4.611e-01
This study	LP-HYS	pmagpy-1.57b	12	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.532e-08		4.571e-01
This study	LP-HYS	pmagpy-1.57b	13	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.540e-08		4.531e-01
This study	LP-HYS	pmagpy-1.57b	14	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.541e-08		4.491e-01
This study	LP-HYS	pmagpy-1.57b	15	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.548e-08		4.451e-01
This study	LP-HYS	pmagpy-1.57b	16	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.550e-08		4.411e-01
This study	LP-HYS	pmagpy-1.57b	17	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.545e-08		4.371e-01
This study	LP-HYS	pmagpy-1.57b	18	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.551e-08		4.331e-01
