tab 	magic_measurements
measurement_temp	er_citation_names	magic_software_packages	measurement_number	measurement_standard	er_site_name	er_sample_name	treatment_temp	magic_instrument_codes	er_location_name	measurement_magn_moment	measurement_flag	magic_experiment_name	measurement_lab_field_dc	er_specimen_name	treatment_dc_field	magic_method_codes	er_scientist_mail_names
273	This study	pmagpy-1.43b	1	u			273	SIO-Maud	unknown	3.495e-08	g	M428:LP-HYS	5.001e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	2	u			273	SIO-Maud	unknown	3.512e-08	g	M428:LP-HYS	4.971e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	3	u			273	SIO-Maud	unknown	3.505e-08	g	M428:LP-HYS	4.932e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	4	u			273	SIO-Maud	unknown	3.513e-08	g	M428:LP-HYS	4.892e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	5	u			273	SIO-Maud	unknown	3.510e-08	g	M428:LP-HYS	4.851e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	6	u			273	SIO-Maud	unknown	3.511e-08	g	M428:LP-HYS	4.811e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	7	u			273	SIO-Maud	unknown	3.511e-08	g	M428:LP-HYS	4.771e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	8	u			273	SIO-Maud	unknown	3.523e-08	g	M428:LP-HYS	4.731e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	9	u			273	SIO-Maud	unknown	3.526e-08	g	M428:LP-HYS	4.691e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	10	u			273	SIO-Maud	unknown	3.526e-08	g	M428:LP-HYS	4.651e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	11	u			273	SIO-Maud	unknown	3.529e-08	g	M428:LP-HYS	4.611e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	12	u			273	SIO-Maud	unknown	3.532e-08	g	M428:LP-HYS	4.571e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	13	u			273	SIO-Maud	unknown	3.540e-08	g	M428:LP-HYS	4.531e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	14	u			273	SIO-Maud	unknown	3.541e-08	g	M428:LP-HYS	4.491e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	15	u			273	SIO-Maud	unknown	3.548e-08	g	M428:LP-HYS	4.451e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	16	u			273	SIO-Maud	unknown	3.550e-08	g	M428:LP-HYS	4.411e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	17	u			273	SIO-Maud	unknown	3.545e-08	g	M428:LP-HYS	4.371e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	18	u			273	SIO-Maud	unknown	3.551e-08	g	M428:LP-HYS	4.331e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	19	u			273	SIO-Maud	unknown	3.555e-08	g	M428:LP-HYS	4.291e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	20	u			273	SIO-Maud	unknown	3.551e-08	g	M428:LP-HYS	4.251e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	21	u			273	SIO-Maud	unknown	3.560e-08	g	M428:LP-HYS	4.211e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	22	u			273	SIO-Maud	unknown	3.561e-08	g	M428:LP-HYS	4.171e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	23	u			273	SIO-Maud	unknown	3.564e-08	g	M428:LP-HYS	4.131e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	24	u			273	SIO-Maud	unknown	3.562e-08	g	M428:LP-HYS	4.091e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	25	u			273	SIO-Maud	unknown	3.565e-08	g	M428:LP-HYS	4.050e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	26	u			273	SIO-Maud	unknown	3.571e-08	g	M428:LP-HYS	4.010e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	27	u			273	SIO-Maud	unknown	3.568e-08	g	M428:LP-HYS	3.971e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	28	u			273	SIO-Maud	unknown	3.570e-08	g	M428:LP-HYS	3.931e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	29	u			273	SIO-Maud	unknown	3.576e-08	g	M428:LP-HYS	3.891e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	30	u			273	SIO-Maud	unknown	3.574e-08	g	M428:LP-HYS	3.851e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	31	u			273	SIO-Maud	unknown	3.576e-08	g	M428:LP-HYS	3.811e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	32	u			273	SIO-Maud	unknown	3.580e-08	g	M428:LP-HYS	3.771e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	33	u			273	SIO-Maud	unknown	3.579e-08	g	M428:LP-HYS	3.731e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	34	u			273	SIO-Maud	unknown	3.578e-08	g	M428:LP-HYS	3.691e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	35	u			273	SIO-Maud	unknown	3.578e-08	g	M428:LP-HYS	3.651e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	36	u			273	SIO-Maud	unknown	3.582e-08	g	M428:LP-HYS	3.611e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	37	u			273	SIO-Maud	unknown	3.580e-08	g	M428:LP-HYS	3.571e-01	M428		LP-HYS	
273	This study	pmagpy-1.43b	38	u			273	SIO-Maud	unknown	3.579e-08	g	M428:LP-HYS	3.531e-01	M428		LP-HYS	
