tab 	magic_measurements
measurement_temp	er_citation_names	magic_software_packages	measurement_number	measurement_standard	er_site_name	er_sample_name	treatment_temp	magic_instrument_codes	er_location_name	measurement_magn_moment	measurement_flag	magic_experiment_name	measurement_lab_field_dc	er_specimen_name	treatment_dc_field	magic_method_codes	er_scientist_mail_names
273	This study	pmagpy-1.51b	1	u		TC04-15-03	273	SIO-Maud	unknown	8.082e-07	g	TC04-15-03F:LP-HYS	5.000e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	2	u		TC04-15-03	273	SIO-Maud	unknown	8.084e-07	g	TC04-15-03F:LP-HYS	4.970e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	3	u		TC04-15-03	273	SIO-Maud	unknown	8.083e-07	g	TC04-15-03F:LP-HYS	4.931e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	4	u		TC04-15-03	273	SIO-Maud	unknown	8.082e-07	g	TC04-15-03F:LP-HYS	4.891e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	5	u		TC04-15-03	273	SIO-Maud	unknown	8.082e-07	g	TC04-15-03F:LP-HYS	4.851e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	6	u		TC04-15-03	273	SIO-Maud	unknown	8.081e-07	g	TC04-15-03F:LP-HYS	4.811e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	7	u		TC04-15-03	273	SIO-Maud	unknown	8.080e-07	g	TC04-15-03F:LP-HYS	4.771e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	8	u		TC04-15-03	273	SIO-Maud	unknown	8.078e-07	g	TC04-15-03F:LP-HYS	4.730e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	9	u		TC04-15-03	273	SIO-Maud	unknown	8.077e-07	g	TC04-15-03F:LP-HYS	4.690e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	10	u		TC04-15-03	273	SIO-Maud	unknown	8.075e-07	g	TC04-15-03F:LP-HYS	4.650e-01	TC04-15-03F		LP-HYS	
