Sample No.	Vial No.	Paired-Sample Box No.	Depth in hole (meters)	Ba ppm	Cr ppm	Cu ppm	Fe ppm	La ppm	Mn ppm	Ni ppm	Rb ppm	Ti WT%	V ppm	Zn ppm	Zr ppm
BL-3141	4112	500	5.30	768	98	120	4.46	29	297	85	24	0.72	204	95	167
BL-3139	4114	501	5.41	340	77	66	2.77	23	148	55	17	0.45	164	151	100
BL-3547	4118	503	5.51	389	85	57	2.82	16	139	61	19	0.43	186	111	72
BL-3176	4137	524	5.66	417	82	59	2.43	13	150	76	17	0.37	150	83	62
BL-3193	4152	510	5.81	266	99	56	2.30	31	136	74	17	0.36	99	83	80
BL-3611	4162	507	5.96	256	69	63	2.57	50	142	62	21	0.40	120	88	74
BL-3171	4135	515	6.26	441	150	68	2.89	29	137	63	19	0.43	150	93	90
BL-3191	4146	518	6.41	356	63	64	2.87	41	144	62	18	0.44	189	116	81
BL-3558	4123	521	6.57	265	73	73	2.91	27	148	62	17	0.44	114	88	91
BL-3617	4166	525	6.71	319	36	72	7.44	16		77	18	0.54	36	89	96
BL-3230	4174	527	6.82	268	72	68	8.11	26		80	15	0.56	160	91	76
BL-3636	4178	528	6.87	337	113	72	4.33	19	774	85	16	0.53	95	102	87
BL-3242	4182	529	6.92	331	102	75	3.65	16	337	71	21	0.50	64	91	101
BL-3654	4138	531	7.05	456	136	79	4.18	22	475	67	20	0.56	136	110	106
BL-3258	4192	532	7.11	393	179	78	5.34	49		88	18	0.54	179	97	90
BL-3669	4200	534	7.26	346	147	76	6.31	52		64	19	0.59	147	97	95
BL-3288	4212	537	7.41	288	145	70	4.92	16		84	21	0.55	42	96	109
BL-3633	4176	540	7.57	344	119	73	4.47	38	944	79	23	0.52	87	101	97
BL-3645	4184	542	7.67	379	198	73	4.34	19	712	69	19	0.54	198	99	105
BL-3261	4194	547	7.78	558	108	83	5.17	25		93	16	0.64	101	106	158
BL-3678	4206	547	7.92	326	26	76	5.23	11		70	23	0.56	26	111	117
BL-3690	4214	549	8.01	408	36	68	7.79	15		50	18	0.58	221	97	79
BL-3697	4219	551	8.13	335	239	68	5.53	29		72	18	0.53	239	97	101
BL-3722	4721	804	8.29	335	148	68	2.97	32	194	74	17	0.46	148	105	81
BL-3734	4727	810	8.44	378	84	69	3.02	25	169	69	18	0.46	115	107	86
BL-3746	4733	816	8.59	302	103	68	2.88	24	160	76	19	0.44	150	101	84
BL-3720	4720	803	9.28	338	32	67	2.57	23	154	63	18	0.43	32	140	108
BL-3766	4746	826	9.57	225	76	55	1.90	17	128	46	13	0.33	119	63	74
BL-3774	4747	830	9.76	241	72	42	1.56	23	118	40	15	0.27	108	258	56
