tab 	rmag_anisotropy
er_citation_names	anisotropy_sigma	magic_experiment_names	anisotropy_s6	anisotropy_type	er_site_name	er_sample_name	er_location_name	anisotropy_s5	anisotropy_s4	anisotropy_s3	anisotropy_s2	anisotropy_s1	er_specimen_name	anisotropy_unit	anisotropy_mean	magic_method_codes	anisotropy_n
This study	0.00025692	tr213a1:AMS	0.00044811	AMS	tr213	tr213a	none	0.00022950	-0.00012694	0.33476171	0.33260226	0.33263600	tr213a1	SI	1.52900000e-03	LP-X:AE-H	15
This study	0.00020805	tr213b1:AMS	0.00090908	AMS	tr213	tr213b	none	-0.00051116	0.00035909	0.33507138	0.33047083	0.33445778	tr213b1	SI	1.23526667e-03	LP-X:AE-H	15
This study	0.00022686	tr213b2:AMS	0.00047745	AMS	tr213	tr213b	none	-0.00049521	0.00055084	0.33479548	0.33135706	0.33384749	tr213b2	SI	1.48153333e-03	LP-X:AE-H	15
This study	0.00025474	tr213c1:AMS	0.00082612	AMS	tr213	tr213c	none	-0.00045597	0.00111245	0.33485487	0.33120438	0.33394074	tr213c1	SI	1.15400000e-03	LP-X:AE-H	15
This study	0.00019406	tr213c2:AMS	0.00025363	AMS	tr213	tr213c	none	0.00011714	0.00097061	0.33475000	0.33107361	0.33417642	tr213c2	SI	1.33053333e-03	LP-X:AE-H	15
This study	0.00021794	tr213d1:AMS	-0.00035551	AMS	tr213	tr213d	none	-0.00077008	0.00019031	0.33413228	0.33297539	0.33289236	tr213d1	SI	1.30973333e-03	LP-X:AE-H	15
This study	0.00016813	tr213e1:AMS	0.00002637	AMS	tr213	tr213e	none	-0.00072279	0.00023666	0.33372408	0.33312279	0.33315313	tr213e1	SI	1.38620000e-03	LP-X:AE-H	15
This study	0.00025183	tr213f1:AMS	0.00004166	AMS	tr213	tr213f	none	-0.00014607	0.00023809	0.33348346	0.33350989	0.33300662	tr213f1	SI	1.46333333e-03	LP-X:AE-H	15
This study	0.00022023	tr213f2:AMS	-0.00018792	AMS	tr213	tr213f	none	-0.00077269	0.00046441	0.33392584	0.33358750	0.33248666	tr213f2	SI	1.52613333e-03	LP-X:AE-H	15
This study	0.00021759	tr213g1:AMS	0.00002995	AMS	tr213	tr213g	none	-0.00016906	0.00039146	0.33445191	0.33299765	0.33255047	tr213g1	SI	1.62686667e-03	LP-X:AE-H	15
This study	0.00022401	tr213g2:AMS	-0.00019850	AMS	tr213	tr213g	none	0.00032925	0.00047293	0.33454025	0.33322859	0.33223113	tr213g2	SI	1.38973333e-03	LP-X:AE-H	15
This study	0.00022997	tr213h1:AMS	0.00028019	AMS	tr213	tr213h	none	-0.00043865	-0.00013525	0.33465141	0.33295417	0.33239445	tr213h1	SI	1.60973333e-03	LP-X:AE-H	15
