tab 	rmag_anisotropy
er_citation_names	anisotropy_sigma	magic_experiment_names	anisotropy_s6	anisotropy_type	er_site_name	er_sample_name	er_location_name	anisotropy_s5	anisotropy_s4	anisotropy_s3	anisotropy_s2	anisotropy_s1	er_specimen_name	anisotropy_unit	magic_method_codes
This study	96	.83694:AMS	0.070115	AMS	unknown	unknown	Unknown	0.05783	0.020475	.77861	.95199	.83694	unknown	SI	LP-X
This study	96	.85332:AMS	0.06143	AMS	unknown	unknown	Unknown	0.13962	0.11076	.85332	.86970	.85332	unknown	SI	LP-X
This study	96	.85332:AMS	0.05733	AMS	unknown	unknown	Unknown	-0.01638	0.05343	.83694	.90246	.85332	unknown	SI	LP-X
This study	96	.86151:AMS	0.0698	AMS	unknown	unknown	Unknown	-0.077995	-0.028855	.89427	1.00930	.86151	unknown	SI	LP-X
This study	96	.88608:AMS	0.016375	AMS	unknown	unknown	Unknown	-0.007995	-0.0778	.89427	1.01750	.88608	unknown	SI	LP-X
This study	96	.89427:AMS	-0.01229	AMS	unknown	unknown	Unknown	-0.10257	0.05343	.96837	.89427	.89427	unknown	SI	LP-X
This study	96	.89427:AMS	0.00819	AMS	unknown	unknown	Unknown	-0.01229	-0.00819	.86151	.91065	.89427	unknown	SI	LP-X
This study	96	.90246:AMS	-0.159895	AMS	unknown	unknown	Unknown	-0.119145	-0.06572	.98475	.94380	.90246	unknown	SI	LP-X
This study	96	.91884:AMS	0.01248	AMS	unknown	unknown	Unknown	-0.082285	-0.008195	.94380	.95199	.91884	unknown	SI	LP-X
This study	96	.91884:AMS	-0.04504	AMS	unknown	unknown	Unknown	0.0041	-0.03686	.85332	1.03390	.91884	unknown	SI	LP-X
This study	96	.92703:AMS	-0.07371	AMS	unknown	unknown	Unknown	-0.09438	0.01229	.92703	.95199	.92703	unknown	SI	LP-X
This study	96	.92703:AMS	-0.106465	AMS	unknown	unknown	Unknown	-0.09438	-0.016385	.93522	.97656	.92703	unknown	SI	LP-X
This study	96	.93522:AMS	0.033155	AMS	unknown	unknown	Unknown	-0.077985	-0.12303	.91065	1.08300	.93522	unknown	SI	LP-X
This study	96	.96018:AMS	-0.06571	AMS	unknown	unknown	Unknown	-0.16009	-0.08637	.94380	1.00930	.96018	unknown	SI	LP-X
This study	0	.99298:AMS	0.16391	AMS	unknown	unknown	Unknown	0.1664	0.36671	1.21430	1.01310	.99298	unknown	SI	LP-X
This study	96	1.00930:AMS	0.04917	AMS	unknown	unknown	Unknown	-0.06984	-0.06572	.97656	1.06670	1.00930	unknown	SI	LP-X
This study	96	1.01750:AMS	-0.07802	AMS	unknown	unknown	Unknown	-0.13123	-0.11054	1.13260	1.07480	1.01750	unknown	SI	LP-X
This study	96	1.01750:AMS	-0.13961	AMS	unknown	unknown	Unknown	-0.16401	-0.13945	1.00930	1.21450	1.01750	unknown	SI	LP-X
This study	96	1.03390:AMS	-0.07801	AMS	unknown	unknown	Unknown	-0.14761	-0.0985	1.00110	1.18990	1.03390	unknown	SI	LP-X
This study	0	1.05170:AMS	-0.00595	AMS	unknown	unknown	Unknown	-0.01925	0.20025	1.17310	1.05030	1.05170	unknown	SI	LP-X
This study	0	1.05850:AMS	-0.06986	AMS	unknown	unknown	Unknown	0.0985	0.04525	1.19810	1.07480	1.05850	unknown	SI	LP-X
This study	96	1.07480:AMS	-0.11484	AMS	unknown	unknown	Unknown	-0.04113	-0.17234	.91884	1.00110	1.07480	unknown	SI	LP-X
This study	0	1.08110:AMS	0.05555	AMS	unknown	unknown	Unknown	-0.13709	0.14205	1.21190	1.11250	1.08110	unknown	SI	LP-X
This study	0	1.09120:AMS	-0.15575	AMS	unknown	unknown	Unknown	-0.09825	-0.04945	1.32090	1.09940	1.09120	unknown	SI	LP-X
This study	0	1.09170:AMS	0.20815	AMS	unknown	unknown	Unknown	0.2512	0.00125	1.11210	1.01940	1.09170	unknown	SI	LP-X
This study	0	1.11310:AMS	-0.16052	AMS	unknown	unknown	Unknown	0.09545	-0.1356	1.21320	1.22180	1.11310	unknown	SI	LP-X
This study	0	1.16040:AMS	0.17875	AMS	unknown	unknown	Unknown	0.0903	0.0147	1.12400	1.28820	1.16040	unknown	SI	LP-X
This study	96	1.17350:AMS	-0.16829	AMS	unknown	unknown	Unknown	-0.05736	-0.11895	1.04210	1.12400	1.17350	unknown	SI	LP-X
This study	0	1.18170:AMS	0.07105	AMS	unknown	unknown	Unknown	0.00375	0.0666	1.21040	1.23900	1.18170	unknown	SI	LP-X
This study	0	1.19110:AMS	-0.04545	AMS	unknown	unknown	Unknown	-0.08195	0.031	1.32910	1.27910	1.19110	unknown	SI	LP-X
This study	0	1.19120:AMS	0.0708	AMS	unknown	unknown	Unknown	-0.06195	0.07485	1.31000	1.25190	1.19120	unknown	SI	LP-X
This study	0	1.19200:AMS	0.10015	AMS	unknown	unknown	Unknown	-0.08055	0.09915	1.29170	1.22100	1.19200	unknown	SI	LP-X
This study	0	1.21120:AMS	-0.13662	AMS	unknown	unknown	Unknown	0.03525	-0.04145	1.12180	1.21710	1.21120	unknown	SI	LP-X
This study	0	1.21430:AMS	0.19325	AMS	unknown	unknown	Unknown	0.298	0.0964	1.11230	1.21010	1.21430	unknown	SI	LP-X
This study	0	1.21750:AMS	0.10875	AMS	unknown	unknown	Unknown	0.2594	0.1765	1.21120	1.11250	1.21750	unknown	SI	LP-X
This study	0	1.22310:AMS	0.0385	AMS	unknown	unknown	Unknown	-0.0101	0.21645	1.50010	1.21320	1.22310	unknown	SI	LP-X
This study	0	1.22910:AMS	-0.07305	AMS	unknown	unknown	Unknown	-0.4687	-0.50005	1.28000	1.99170	1.22910	unknown	SI	LP-X
This study	0	1.23410:AMS	0.0171	AMS	unknown	unknown	Unknown	0.21115	0.21985	1.32130	1.12190	1.23410	unknown	SI	LP-X
This study	0	1.24720:AMS	0.0944	AMS	unknown	unknown	Unknown	0.2625	0.14355	1.32910	1.19810	1.24720	unknown	SI	LP-X
This study	0	1.25540:AMS	-0.24105	AMS	unknown	unknown	Unknown	-0.1914	-0.141	1.51180	1.27180	1.25540	unknown	SI	LP-X
This study	0	1.27110:AMS	-0.0644	AMS	unknown	unknown	Unknown	-0.0094	-0.1243	1.25100	1.28000	1.27110	unknown	SI	LP-X
This study	0	1.27180:AMS	0.1033	AMS	unknown	unknown	Unknown	0.103	0.04435	1.21450	1.11200	1.27180	unknown	SI	LP-X
This study	0	1.28030:AMS	0.0194	AMS	unknown	unknown	Unknown	0.09395	0.16445	1.31920	1.12190	1.28030	unknown	SI	LP-X
This study	0	1.29190:AMS	0.19635	AMS	unknown	unknown	Unknown	0.0588	0.09315	1.25370	1.21030	1.29190	unknown	SI	LP-X
This study	0	1.31100:AMS	0.1047	AMS	unknown	unknown	Unknown	0.04635	0.2006	1.21120	1.19010	1.31100	unknown	SI	LP-X
This study	0	1.31250:AMS	0.0046	AMS	unknown	unknown	Unknown	0.0444	0.0438	1.32990	1.13270	1.31250	unknown	SI	LP-X
This study	0	1.31720:AMS	0.1331	AMS	unknown	unknown	Unknown	0.15725	0.00205	1.22270	1.12400	1.31720	unknown	SI	LP-X
This study	0	1.31730:AMS	-0.01055	AMS	unknown	unknown	Unknown	0.0567	0.1179	1.31270	1.21230	1.31730	unknown	SI	LP-X
This study	0	1.32090:AMS	0.1105	AMS	unknown	unknown	Unknown	0.0593	0.1048	1.29120	1.21120	1.32090	unknown	SI	LP-X
This study	105	1.32430:AMS	0.07235	AMS	unknown	unknown	Unknown	0.1813	0.01505	1.31790	1.39170	1.32430	unknown	SI	LP-X
This study	105	1.32910:AMS	0.09045	AMS	unknown	unknown	Unknown	0.1025	-0.14765	1.30460	1.45240	1.32910	unknown	SI	LP-X
This study	0	1.33170:AMS	0.0111	AMS	unknown	unknown	Unknown	-0.07435	-0.06605	1.32910	1.32180	1.33170	unknown	SI	LP-X
This study	105	1.35370:AMS	0.0739	AMS	unknown	unknown	Unknown	0.0821	0.10275	1.37870	1.36190	1.35370	unknown	SI	LP-X
This study	0	1.36170:AMS	0.0127	AMS	unknown	unknown	Unknown	0.0388	0.2177	1.31210	1.21310	1.36170	unknown	SI	LP-X
This study	0	1.36190:AMS	0.1517	AMS	unknown	unknown	Unknown	0.1312	0.11895	1.35370	1.20630	1.36190	unknown	SI	LP-X
This study	105	1.36190:AMS	0.1215	AMS	unknown	unknown	Unknown	0.02555	0.0231	1.44140	1.47630	1.36190	unknown	SI	LP-X
This study	105	1.37170:AMS	0.1245	AMS	unknown	unknown	Unknown	0.1714	0.099	1.41140	1.30460	1.37170	unknown	SI	LP-X
This study	0	1.39120:AMS	0.0122	AMS	unknown	unknown	Unknown	0.08305	-0.0087	1.21700	1.13930	1.39120	unknown	SI	LP-X
This study	105	1.39120:AMS	0.0081	AMS	unknown	unknown	Unknown	0.15395	-0.10629	1.45120	1.34120	1.39120	unknown	SI	LP-X
This study	105	1.39120:AMS	0.1661	AMS	unknown	unknown	Unknown	-0.0142	-0.0661	1.33940	1.47410	1.39120	unknown	SI	LP-X
This study	0	1.39210:AMS	-0.09085	AMS	unknown	unknown	Unknown	-0.14535	-0.3323	1.32180	1.38650	1.39210	unknown	SI	LP-X
This study	0	1.39500:AMS	0.0778	AMS	unknown	unknown	Unknown	0.04505	0.0821	1.28000	1.32910	1.39500	unknown	SI	LP-X
This study	0	1.40120:AMS	0.0791	AMS	unknown	unknown	Unknown	0.1958	0.0684	1.21790	1.21190	1.40120	unknown	SI	LP-X
