0	86.8	178.8
5	86.5	171.6
10	85.9	151.8
15	85.2	151
20	82.8	146.7
25	85.8	152.1
30	83.5	197
35	83.6	185.3
40	81.8	167.2
45	84.8	154.9
50	85.1	156.4
55	85.3	181.7
60	84.3	211.5
65	82.7	240.6
70	82.8	251.7
75	86.7	245.7
80	80.9	292
85	81	298.2
90	87.6	324.9
95	86.3	356.4
100	80.3	32.6
105	82.4	23.7
110	78.1	9.2
115	76.5	19.6
120	77	11.9
125	76.8	14.2
130	71.9	18.8
135	71.8	18.5
140	70.9	358
145	72	346.8
150	63.9	41.5
155	62.9	37.2
160	65.2	31.1
165	62.8	26.5
170	60.6	34.8
175	53.2	45.1
180	51.6	44.6
185	50.1	48.5
190	55.9	43.1
195	57.2	42.3
200	58	54.4
