tab	pmag_results
age	vgp_lat	vgp_lon
0	87.5	204
5	87.5	207.6
10	85.9	277.2
15	84.9	279.3
20	84.1	273
25	78.6	294.7
30	73	282.8
35	72.9	285.3
40	73.2	283.7
45	70.2	294.6
50	69.5	295.7
55	67.2	294.2
60	64.3	292.7
65	60.6	293.1
70	59.5	295.4
75	62.1	300.6
80	54.8	303.5
85	54.4	305.4
90	59.9	309.4
95	59.4	313.6
100	59.2	327.5
105	58.6	322.7
110	53.8	326.2
115	54.1	330.5
120	52.9	327.9
125	53.1	328.6
130	50.2	335.6
135	49.6	335.4
140	44.1	328.5
145	43.1	323.2
150	50.6	352.4
155	48.5	351.8
160	47.9	346.6
165	44.8	347.3
170	46.2	353.3
175	45.5	6.6
180	44.2	8
185	44.9	11.9
190	46.4	2.6
195	46.9	0.8
200	52.6	5.8
