tab	pmag_results										
pmag_result_name	average_lat	average_lon	vgp_lat	vgp_lon	vgp_dp	vgp_dm	average_age	average_age_sigma	ihavenofuckingidea	average_n	DC_code
	-38.5	143.5	86.6	266.3	1.9	1.9	2.5	5	46	133	2
	-38.7	143.1	77.2	303.5	4.2	4.2	12	4	30	48	3
	-32.5	138.5	80.4	270.5	8.4	8.4	14	18	6	37	2
	-32	150	79.4	246	4.2	4.2	17.5	5	51	149	2
	-30	150	77.4	290.9	4.1	4.1	22.5	5	75	278	2
	-27	152.2	78	260	8	12	23.5	3	12	68	3
	-35	150	68.9	272.4	4.3	4.3	30	10	52	162	2
	-38.8	143.4	65.5	292.5	2.5	2.5	37	4	33	66	4
	-35	150	68.5	310.9	5.2	5.2	50	20	46	143	2
	-27	141.5	58.8	298	3.8	3.8	50	30		37	2
	-33.2	151.1	40.6	310.2	8.6	8.6	57.5	3	9	44	3
	-30.5	151.5	59.2	297.2	9.1	9.9	60	20	7	53	4
	-36.3	150	56	318	9	9	95	10	22	55	3
	-33.4	115.6	49	341	10	10	97.5	15	5	54	2
	-43	147	50	338	10	10	105	10	15	45	2
	-33.8	150.9	53	359.6	6.4	6.4	168	10	10	59	4
	-42	147.5	50.7	354.5	5.2	5.2	174	16	21	42	2
	-31	150	46.1	355.2	10	10	197	20	14	36	2
