tab	pmag_results
average_age	vgp_lat	vgp_lon
1	81	227
3	77.5	187.5
6	80.4	142.9
15	77.5	146.3
16.5	85.1	200.9
22.5	70	108
22.5	74.6	120.5
28.5	78	140
34	80.8	182
46.5	73.4	196.8
53	77	213.5
57	77	161
57.5	69.6	162.9
57.5	71.5	165.2
58.5	75	240
59	81.4	181.9
59	82.5	158
59.5	77	175
62	72.2	168.3
71.5	73	156
71.5	70.9	125.8
92.5	75.8	181.1
108	61.8	222.9
142	74.1	183.1
144	66	200
155	77.2	149
158	77.6	129.7
159	76.5	142.5
155	72.7	125.7
155	70.1	147
158	72.3	150.4
168	63.1	120.1
181	69	102
183	70.1	102.6
192	76.9	134.7
198	61.3	78.8
202	51.3	105
