tab	pmag_results
average_age	vgp_lat	vgp_lon
1	80.4	119.5
1	80.4	119.5
1	81	158
1.5	77.8	123.7
1.5	83.2	117.8
23	76.2	210
26	79.7	162.6
30.5	85.2	304.3
38	85.5	117.7
44	83.9	144.2
46	82.6	151.9
46.5	83.5	177.4
47	87.6	45.9
50.5	77.1	145.8
51	81.2	167.3
51	77.8	128.4
52	80.5	198.4
63	81.8	181.4
63.5	72	183
64	80.5	185.1
75	73	249
76	83.4	200.9
79.5	69.8	207.8
80	80.3	189.5
94	74.1	192.5
102	76.6	167.5
112	74.5	195.2
120	69.9	188.7
120	71.3	189.5
120	72.4	191
122	73.9	201
123	72.2	198.9
130	75.2	181.4
135	67	212
142	58	203.1
152	76.2	120.5
168	83	286
169	88.4	82.1
180	52.6	60.7
180	69.6	47.1
180	85.5	124.5
191	74.1	114
180	52.6	60.7
180	69.6	47.1
180	85.5	124.5
191	74.1	114
191	73	104
194	66.1	96.1
194	66.1	96.1
195	62	104.5
198	65.5	87.5
200	63	108
201	68	88.6
201	65.5	73.1
206	55.5	94.5
208	62.2	115.1
