CODE	Dec	Inc	a95	GLat	GLon	Plat	Plon	Dp	Dm	Age
Mt.Gambier Volcanics	357	-57	1,9	-38	140,7	88	52	2	2,8	0.5
Mt.Schank Volcanics	9	-55	1,6	-38	140,7	82	216	1,6	2,3	0.5
Basalts	0	-16	6,5	-4	150	86	330	3,4	6,7	0.5
Aboriginal Fireplaces	353,7	-56,1	5,1	-34	144	84,2	23,8	5,3	7,3	0.5
Leron Formation	117,6	5,9	5,2	-6,5	146,8	27,7	56,9	2,6	5,2	0.5
Leron Formation	341,3	1,6	5,6	-6,5	146,8	70	77,5	2,8	5,6	0.5
Leron Formation	191,5	-0,7	13,8	-6,5	146,8	76,6	206,4	6,9	13,8	0.5
Leron Formation	85,8	6,3	6,5	-6,5	146,8	-3,8	53,2	3,3	6,5	0.5
Newer Volcanics	176,3	57,7	3,5	-37,9	143,4	87,2	21,9	4,4	4,4	2
Newer Volcanics	3,9	-59,2	1,5	-38,3	143,5	86,6	266,3	1,9	1,9	2.5
Newer Volcanics	3,4	-59,8	4,8	-38	143,5	86,3	282,1	5,5	7,2	2.5
Newer Volcanics	350	-56	6	-38	143,5	83	56	8	8	2.5
Werriko Limestone, Newer Volcanics	5,4	-61,2	4,4	-38	142,5	83,2	283,6	6,2	6,2	3
Port Campbell Limestone, Glenample Formation	6,1	-67,3	2,8	-38,7	143,1	77,2	303,5	4,2	4,2	12
Volcanics	264,1	-10,2	29,9	-4	147	5,5	232	15,2	30,2	12.5
Volcanics	6,4	-2	16,8	-4	147	82,6	207,8	8,4	16,8	12.5
Kangaroo Island laterite	183,2	56,2		-36	137	86,9	256,9	8,4	8,4	14
Red clays	188,8	57,4		-32,5	138,5	80,4	270,5	8,4	8,4	14
Hematised Hawkesbury Sandstone	5,4	-58,5	1,9	-33,6	150,6	82,9	294,4	2,1	2,8	15.5
Nandewar, Warrumbungle Volcanoes combined	12,5	-51,9		-32	150	79,4	246	4,2	4,2	17.5
Nandewar Volcano	192,4	53	3,7	-30,3	150,2	78,5	264,3	4,5	4,5	18
Ferruginized sediments	354	-65	4,7	-36,1	149,1	78,2	349,5	6,1	7,6	20
Perth Basin sediments	181,2	55,5	3,4	-29	115	81,2	288,8	4,5	4,5	22.5
Tweed and Main Range Volcanoes	192,4	58,2	3,1	-28,2	153	74,2	294,8	4,1	4,1	22.5
Tweed and Main Range Volcanos combined	10,3	-58,7		-30	150	77,4	290,9	4,1	4,1	22.5
Lavas and dykes	13	-49	9	-27	152,2	78	260	8	12	23.5
Point Addis Limestone	16,5	-71,8	2,9	-38,4	144,3	68,4	298,7	4,8	4,8	25.5
Canaway Profile, Eromanga Basin	9,8	-59,1	5,2	-27	143	74,1	295,1	6,6	6,6	29
Liverpool, Springsure Volcanoes and Older Volcanics combined	24,9	-62,5		-35	150	68,9	272,4	4,3	4,3	30
Kwikla Volcanics	303	-18		-9,4	147,6	34	55			33.5
Gabbro	45	12		-9,4	147,3	42	220			33.5
Lower Edie Porphyry	334	-30	15	-7,3	146,7	63	36	9,6	16,6	33.5
Liverpool Volcano	200,4	59,2	3,5	-31,7	150,2	71,1	275,5	4,8	4,8	34.5
Browns Creek Formation	23,8	-72,4	1,6	-38,8	143,4	65,5	292,5	2,5	2,5	36.5
Tertiary basalts	190	70	14	-32,5	151	63	317	20	20	39.5
Basalts	12	-72	17	-42	147	73	305	25	29	39.5
