tab 	pmag_results
vgp_lon	vgp_lat
224.3	45.0
223.8	46.6
208.5	48.6
212.6	47.7
223.5	44.2
211.4	53.7
216.5	45.5
210.4	54.9
216.8	47.9
218.8	52.2
226.6	45.0
233.9	44.7
202.6	54.1
224.3	34.0
217.3	45.1
220.3	37.3
212.9	35.2
217.6	34.0
215.6	43.0
217.3	45.1
218.8	36.9
217.6	34.0
222.6	36.1
218.9	35.6
225.6	35.7
224.7	37.3
212.1	35.7
226.4	34.1
222.7	44.6
223.6	33.2
235.1	32.0
220.2	38.6
222.6	43.4
214.8	50.4
225.7	34.5
232.7	39.2
215.2	39.4
224.0	40.2
221.9	35.2
220.6	25.5
220.3	37.3
219.2	33.1
221.8	36.5
225.5	40.6
223.4	29.8
216.3	41.9
216.6	31.4
217.4	45.2
215.4	29.1
220.2	31.5
227.1	34.9
216.4	38.2
214.2	36.9
215.6	40.4
220.0	24.6
