tab 	pmag_results
vgp_lon	vgp_lat
21.9	77.1
21.9	75.5
47.4	68.3
43.7	71.0
25.5	77.7
35.3	65.7
41.3	74.3
34.7	64.4
36.0	72.4
26.8	69.2
14.6	77.3
351.4	76.7
43.4	61.9
69.4	86.8
40.6	75.0
59.8	82.3
84.3	77.5
88.0	81.5
49.7	75.7
40.6	75.0
66.9	81.5
88.0	81.5
57.8	84.5
74.6	82.1
37.0	86.3
35.5	84.5
82.9	76.8
39.5	88.0
27.2	77.2
86.5	86.6
280.7	83.6
53.4	81.4
29.5	78.3
35.4	69.7
47.4	87.4
341.7	82.0
62.9	77.8
30.8	81.6
68.3	84.5
148.4	80.8
59.8	82.3
93.2	83.0
58.7	83.7
22.5	81.6
136.2	85.6
51.5	77.0
104.6	80.7
40.2	75.0
115.6	79.1
107.4	83.8
19.9	87.4
65.9	79.3
75.3	78.2
58.2	77.5
149.5	79.8
