tab	pmag_results
average_age	vgp_lat	vgp_lon
60	71.95	-131.07
69	68.92	-126.05
80	68.8	-122.74
90	69.35	-112.58
101	67.26	-97.95
111	60.79	-95.51
120	53.86	-97.69
130	50.08	-100.91
140	52.52	-107.94
150	56.86	-114.7
160	57.2	-108.17
170	56.61	-99.38
180	62.65	-96.13
190	68.92	-102.41
203	67.83	-115.97
214	61.08	-117.89
222	57.07	-115.9
232	53.01	-111.02
240	50.47	-107.43
251	45.98	-106.11
261	39.49	-110.9
270	33.55	-117.95
280	29.74	-125.15
290	28.71	-124.9
300	27.61	-125.48
307	25.65	-129.29
320	17.89	-141.18
329	8.47	-147.02
341	-1.84	-152.43
353	-1.2	-156.69
361	3.74	-159.3
370	8.78	-161.01
380	14.58	-161.59
391	19.07	-164.66
400	22.07	-166.55
409	25.23	-170.05
419	19.44	-177.05
429	6.59	176.06
439	-8.57	171.75
450	-21.81	172.25
459	-28.68	177.36
470	-32.85	-176.63
481	-32.26	-173.21
489	-29.27	-172.92
500	-24.08	-175.72
510	-17.2	-179.36
521	-12.25	174.56
531	-1.87	164.93
540	7.38	157.21
550	12.85	150.21
