ROCKUNIT	RLAT	RLONG	COMPONENT	LOMAGAGE	HIMAGAGE	DEC	INC	N	KD	ED95	PLAT	PLONG	DP	DM	AUTHORS	YEAR
Newer Volcanics	-38	143,5		0	5	350	-56	33	56	6	83	56	8	8	McDougall,I., Allsopp,H.L., Chamalaun,F.H.	1966
Mt.Schank Volcanics	-38	140,7		0	1	9	-55	8	999,9	1,6	82	216	1,6	2,3	Barbetti,M., Sheard,M.J.	1981
Basalts	-4	150		0	1	0	-16	44	21	6,5	86	330	3,4	6,7	Manwaring,E.A.	1971
Mt.Gambier Volcanics	-38	140,7		0	1	357	-57	18	323	1,9	88	52	2	2,8	Barbetti,M., Sheard,M.J.	1981
Newer Volcanics	-38,3	143,5		0	5	3,9	-59,2	133	82	1,5	86,6	266,3	1,9	1,9	Aziz-ur-Rahman	1971
Newer Volcanics	-37,9	143,4		0	4	176,3	57,7	327	52	3,5	87,2	21,9	4,4	4,4	Opdyke,N.D., Musgrave,R.	2004
Leron Formation	-6,5	146,8	Camp Diddy	0	1	191,5	-0,7	4	45,4	13,8	76,6	206,4	6,9	13,8	Weiler,P.D., Coe,R.S.	1997
Leron Formation	-6,5	146,8	Lower Erap	0	1	341,3	1,6	26	27,1	5,6	70	77,5	2,8	5,6	Weiler,P.D., Coe,R.S.	1997
Leron Formation	-6,5	146,8	Central Erap	0	1	85,8	6,3	31	17	6,5	-3,8	53,2	3,3	6,5	Weiler,P.D., Coe,R.S.	1997
Leron Formation	-6,5	146,8	Upper Erap	0	1	117,6	5,9	39	20,1	5,2	27,7	56,9	2,6	5,2	Weiler,P.D., Coe,R.S.	1997
Aboriginal Fireplaces	-34	144		0	1	353,7	-56,1	43	78,9	5,1	84,2	23,8	5,3	7,3	Barbetti,M.F.	1977
Volcanics	-4	147	Northerly Group	2	23	6,4	-2	14	13,8	16,8	82,6	207,8	8,4	16,8	Manwaring,E.A.	1974
Lower Edie Porphyry	-7,3	146,7		2	65	334	-30	6	37	15	63	36	9,6	16,6	Manwaring,E.A.	1974
Werriko Limestone, Newer Volcanics	-38	142,5		2	4	5,4	-61,2	58	84,2	4,4	83,2	283,6	6,2	6,2	Idnurm,M.	1985
Gabbro	-9,4	147,3		2	65	45	12	5	3		42	220			Manwaring,E.A.	1974
Volcanics	-4	147	Westerly Group	2	23	264,1	-10,2	18	4,3	29,9	5,5	232	15,2	30,2	Manwaring,E.A.	1974
Kwikla Volcanics	-9,4	147,6		2	65	303	-18	4	3		34	55			Manwaring,E.A.	1974
Ferruginized sediments	-36,1	149,1		5	35	354	-65	19	999,9	4,7	78,2	349,5	6,1	7,6	Schmidt,P.W., Taylor,G., Walker,P.H.	1982
Kangaroo Island laterite	-36	137		5	23	183,2	56,2	8	88		86,9	256,9	8,4	8,4	Schmidt,P.W., Currey,D.J., Ollier,C.D.	1976
Red clays	-32,5	138,5		5	23	188,8	57,4	37	125		80,4	270,5	8,4	8,4	Schmidt,P.W., Currey,D.J., Ollier,C.D.	1976
Hematised Hawkesbury Sandstone	-33,6	150,6		8	23	5,4	-58,5	118	472,3	1,9	82,9	294,4	2,1	2,8	Bishop,P., Hunt,P., Schmidt,P.W.	1982
Port Campbell Limestone, Glenample Formation	-38,7	143,1		10	14	6,1	-67,3	48	89,7	2,8	77,2	303,5	4,2	4,2	Idnurm,M.	1985
Nandewar, Warrumbungle Volcanoes combined	-32	150	Combined Result	15	20	12,5	-51,9	149			79,4	246	4,2	4,2	McElhinny,M.W., Embleton,B.J.J., Wellman,P.	1974
Perth Basin sediments	-29	115		16	29	181,2	55,5	128	140	3,4	81,2	288,8	4,5	4,5	Schmidt,P.W., Embleton,B.J.J.	1976
Nandewar Volcano	-30,3	150,2		17	19	192,4	53	68	43,1	3,7	78,5	264,3	4,5	4,5	Wellman,P., McElhinny,M.W., McDougall,I.	1969
Tweed and Main Range Volcanos combined	-30	150	Combined Result	20	25	10,3	-58,7	278			77,4	290,9	4,1	4,1	McElhinny,M.W., Embleton,B.J.J., Wellman,P.	1974
Tweed and Main Range Volcanoes	-28,2	153		20	25	192,4	58,2		38,2	3,1	74,2	294,8	4,1	4,1	Wellman,P.	1975
Lavas and dykes	-27	152,2		22	25	13	-49	68	25	9	78	260	8	12	Robertson,W.A.	1966
Tertiary basalts	-32,5	151		23	56	190	70	37	16	14	63	317	20	20	Irving,E., Stott,P.M., Ward,M.A.	1961
Point Addis Limestone	-38,4	144,3		23	28	16,5	-71,8	34	130,6	2,9	68,4	298,7	4,8	4,8	Idnurm,M.	1985
Canaway Profile, Eromanga Basin	-27	143		23	35	9,8	-59,1	10		5,2	74,1	295,1	6,6	6,6	Idnurm,M., Senior,B.R.	1978
Liverpool, Springsure Volcanoes and Older Volcanics combined	-35	150	Combined Result	25	35	24,9	-62,5	162			68,9	272,4	4,3	4,3	McElhinny,M.W., Embleton,B.J.J., Wellman,P.	1974
Liverpool Volcano	-31,7	150,2		33	36	200,4	59,2	72	45,5	3,5	71,1	275,5	4,8	4,8	Wellman,P., McElhinny,M.W., McDougall,I.	1969
Older Volcanics	-38	145,5		34	65	10	-77	50	15,5	9	63	320	16	16	Mumme,W.G.	1963
Browns Creek Formation	-38,8	143,4		34	39	23,8	-72,4	66	262,7	1,6	65,5	292,5	2,5	2,5	Idnurm,M.	1994
Morney Profile, Eromanga Basin	-27	141,5		35	65	17,8	-68,3	37		2,4	58,8	298	3,8	3,8	Idnurm,M., Senior,B.R.	1978
Barrington Volcano, Nerriga Province, Older Volcanics comb.	-35	150	Combined Result	40	60	12	-70,6	143			68,5	310,9	5,2	5,2	McElhinny,M.W., Embleton,B.J.J., Wellman,P.	1974
Woy Woy South Basalt	-33,5	151,3		46	48	45	-63	16		4	54	273	6	6	Embleton,B.J.J., Schmidt,P.W., Hamilton,L.H., Riley,G.H.	1985
Peat's Ridge Basalt	-33,3	151,2		48	50	208	63	14	333	2,1	66	278	2,6	3,3	Robertson,W.A.	1979
Peat's Ridge Basalt	-33,3	151,6		48	50	190	69	5	132	6	70	314	9	10	Manwaring,E.A.	1963
Peat's Ridge Basalt	-33,3	151,2		48	50	193	71	5	161	5,6	66	314	8,5	9,8	Dickson,G.O.	1963
Weathered profile	-30,5	151,5		50	70	208,8	69,5	53		6	59,2	297,2	9,1	9,9	Schmidt,P.W., Ollier,C.D.	1988
Kulnura Sill	-34	151		50	80	32	-62	8	352	2,9	63	271	3,5	4,5	Robertson,W.A.	1979
Barrington Top Volcano, Section 1	-31,9	151,3		52	55	189,5	63,6	64		4,3	74,2	306,4	5,9	5,9	Hill, M.J., Gratton, M.N., Shaw, J.	2002
Barrington Top Volcano, Section 2	-31,9	151,3		52	55	178,5	72,1	7		6,6	64,7	333,2	10,3	11,7	Hill, M.J., Gratton, M.N., Shaw, J.	2002
Barrington Volcano	-32	151,4		52	54	193	65,5	66	48,5	3,6	70,5	305,6	5,3	5,3	Wellman,P., McElhinny,M.W., McDougall,I.	1969
Mogo Hill Basalt	-33,2	151,1	Combined Result	56	59	241	80,7	44	120,9	4,7	40,6	310,2	8,6	8,6	Schmidt,P.W., Embleton,B.J.J.	1981
Mogo Hill Intrusion	-33,2	151,1		56	59	249	84	12	41	6,8	37	318	13,2	13,4	Robertson,W.A.	1979
North Rankin 1 Drillcore	-19,6	116,1		58	62	358,4	-66,2	20		5,9	61,7	298,4	3,3	8	Idnurm,M.	1985
Hornsby Breccia	-33,7	151,1		60	100	29	-62	6	191	4,8	66	272	5,8	7,4	Robertson,W.A.	1979
St.Mary's Breccia	-34	151		65	100	14	-81	21	960	3,3	51	324	6,1	6,4	Robertson,W.A.	1979
Bauine Granodiorite	-7,2	146,7		65	100	213	-6	11	2		55	220			Manwaring,E.A.	1974
Marsden Park Breccia pipe	-33,7	150,8		80	100	43,6	-78	36	228,6	3,4	48,1	307,2	6,2	6,2	Schmidt,P.W.	1982
St.Mary's Breccia pipe	-33,8	150,8		80	100	2,3	-83,9	24	600	3,9	45,9	330,1	7,6	7,6	Schmidt,P.W.	1982
Gingenbullen Dolerite	-34,5	150,3	Low Temp.	80	100	21	-79	41	63	8	54	317	12,4	12,9	Thomas,D.N., Biggin,A.J., Schmidt,P.W.	2000
Dundas Breccia pipe	-33,8	151,1	Low temp.	80	100	345,7	-76,7	11	40,8	19,5	57,7	342,1	35,6	35,6	Schmidt,P.W.	1982
Luddenham dyke	-33,8	150,7	Overprint Comp.	80	100	313	-85	6		5	40	340	10	10	Embleton,B.J.J., Schmidt,P.W., Hamilton,L.H., Riley,G.H.	1985
North Bondi Volcanic Neck	-33,9	151,3	Overprint Comp.	80	100	10	-79	6		5	55	325	10	10	Embleton,B.J.J., Schmidt,P.W., Hamilton,L.H., Riley,G.H.	1985
Hornsby Breccia	-33,7	151,1	B component	80	100	13	-75,5	71	300,8	2,3	59,1	319,4	4,2	4,2	Schmidt,P.W., Embleton,B.J.J.	1981
Bunbury Basalt	-33,4	115,6		90	105	309,7	-69,1	54	142	6,4	49	341	10	10	Schmidt,P.W.	1976
