tab	pmag_results
vgp_lat	vgp_lon
88	52
82	216
86.3	282.1
73.9	280.8
73.3	326.7
75.8	282.5
83	56
78.5	236.6
86.6	266.3
86	330
84.2	23.8
85	325
27.7	56.9
-3.8	53.2
70	77.5
76.6	206.4
83.2	283.6
75	264.4
82.3	249.3
81.7	244.5
82.6	207.8
42	220
63	36
34	55
49	51
87.8	230.8
78.2	349.5
86.9	256.9
80.4	270.5
82.9	294.4
77.2	303.5
79.4	246
81.2	288.8
85.5	213.3
87	22.5
78.5	264.3
44.8	36.5
77.4	290.9
74.2	294.8
78	260
73	305
63	317
74.1	295.1
68.4	298.7
75	294
66	315
66	274
64	321
68.9	272.4
71.1	275.5
26	223
45	333
57	317
58	329
61	346
66.8	302.7
63	320
58.8	298
65.5	292.5
68.5	310.9
54	273
66	278
70	314
66	314
63	271
40	269
59.2	297.2
70.5	305.6
40.6	310.2
37	318
-4.2	219.3
61.7	298.4
66	272
42	221.9
59.8	321.1
51	324
55	220
43.9	225.8
52.4	177.3
48.1	307.2
45.9	330.1
57.7	342.1
59.1	319.4
55.2	338.2
57.3	323.4
57.4	306.7
55	325
40	340
68	322.1
50.7	328.8
61	335.6
54	317
60.7	322.4
56	318
55.9	338
49	341
47.6	140.8
55	32
23	331
50	338
45	328
48.9	328.7
51.4	88.1
54.8	11.3
28.7	345.8
30.7	14.8
36	312
31.8	234.1
55	0
47	315
39	1
47	353
50.4	357.4
53	359.6
50	337
51	340
39	3
52	336.3
50.7	354.5
47.7	303.5
51	331
52.4	332.7
47	6
52.3	358.3
53	324
51	6.1
54.2	337.7
45.2	20
41	326
46.1	355.2
47	358
55	350.6
39	323
32.3	349.9
31.6	5.3
39.4	339.1
25.5	2.2
