tab	pmag_results
vgp_lat	vgp_lon
0.00	89.27
89.33	211.05
89.19	238.94
88.92	255.72
88.61	265.35
88.17	272.81
87.95	275.32
87.73	277.33
84.34	290.12
81.96	293.57
81.94	293.59
81.91	293.61
81.89	293.63
81.86	293.65
81.84	293.67
81.81	293.69
81.79	293.70
81.77	293.72
81.74	293.74
81.67	293.79
81.60	293.83
81.53	293.88
81.46	293.92
81.39	293.96
81.32	293.99
81.25	294.03
81.18	294.06
81.11	294.09
80.42	294.29
79.89	294.39
79.30	294.49
78.99	294.54
78.65	294.59
78.31	294.64
77.95	294.68
77.57	294.70
76.92	294.70
76.25	294.65
75.55	294.56
75.13	294.49
74.70	294.42
74.13	294.30
73.56	294.17
73.01	294.02
71.63	293.52
70.37	292.97
70.02	292.81
69.68	292.65
69.35	292.50
69.03	292.35
68.71	292.21
68.40	292.07
68.09	291.94
67.80	291.82
67.51	291.71
67.42	291.69
67.34	291.66
67.26	291.63
67.18	291.61
67.10	291.58
67.02	291.56
66.95	291.54
66.42	291.41
65.93	291.33
65.31	291.27
64.79	291.29
64.38	291.38
64.05	291.56
63.78	291.84
63.57	292.25
63.40	292.80
63.34	293.02
63.29	293.25
63.24	293.50
63.18	293.75
63.15	293.87
63.12	294.00
63.06	294.24
62.85	294.88
62.60	295.26
62.56	295.28
62.51	295.30
62.39	295.29
62.26	295.23
62.14	295.10
62.02	294.92
61.90	294.68
61.80	294.38
61.72	294.02
61.67	293.67
61.63	293.28
61.60	292.85
61.58	292.41
61.58	291.94
61.61	290.37
61.67	288.98
61.72	288.06
59.01	305.48
57.69	310.18
57.00	312.33
56.32	314.32
55.66	316.14
55.04	317.80
54.47	319.31
53.97	320.66
53.20	322.96
52.65	324.78
52.54	325.17
52.43	325.54
52.32	325.87
52.22	326.19
52.12	326.47
52.02	326.73
51.91	326.96
51.81	327.17
51.50	327.63
51.14	327.95
50.71	328.15
49.35	328.32
47.27	328.57
45.04	329.11
42.45	329.95
39.73	331.04
37.12	332.34
34.86	333.85
33.17	335.58
32.67	336.39
32.32	337.24
32.11	338.11
32.02	339.01
32.06	339.92
32.21	340.84
32.49	341.75
32.87	342.65
32.95	342.81
33.03	342.97
33.12	343.13
33.21	343.29
33.30	343.45
33.40	343.61
33.50	343.76
33.60	343.92
33.71	344.08
33.82	344.23
33.93	344.39
34.20	344.73
34.47	345.07
34.76	345.41
35.07	345.75
35.39	346.08
35.73	346.41
36.38	347.02
37.06	347.61
37.77	348.19
38.48	348.74
39.19	349.28
39.87	349.78
40.17	349.99
40.46	350.20
40.75	350.40
41.02	350.59
41.30	350.78
41.56	350.96
42.97	351.84
44.18	352.48
45.21	352.88
46.08	353.04
46.82	352.97
47.44	352.70
47.75	352.47
48.05	352.22
48.39	351.98
48.44	351.95
48.49	351.93
48.54	351.90
48.69	351.83
48.86	351.77
49.03	351.73
49.36	351.73
49.70	351.82
50.03	351.99
50.33	352.21
50.37	352.24
50.41	352.27
50.44	352.30
50.48	352.33
50.68	352.50
50.87	352.68
50.93	352.73
50.99	352.78
51.04	352.83
51.10	352.88
51.12	352.90
51.15	352.93
51.17	352.95
51.20	352.97
51.22	353.00
51.25	353.02
51.27	353.04
51.29	353.06
51.63	353.39
51.82	353.57
51.85	353.61
51.73	353.49
51.48	353.22
50.98	352.68
50.65	352.33
50.27	351.94
49.18	350.86
47.86	349.59
46.36	348.16
44.77	346.58
42.05	343.74
