10	9.96	17	-82.06	337.42	67.42	7.94
20	3.8	27	-82.57	319	49	7.43
30	3.98	23	-81.24	313.59	43.59	8.76
40	3.64	20	-81.6	322.68	52.68	8.4
50	2.9	28	-79.31	332.41	62.41	10.69
60	2.57	36	-78.27	344.4	74.4	11.73
70	2.82	32	-78.32	3.93	93.93	11.68
80	2.72	34	-78.92	10.02	100.02	11.08
90	2.78	32	-80.43	351.79	81.79	9.57
100	4.72	11	-81.55	329.78	59.78	8.45
110	4	16	-81.01	10.93	100.93	8.99
120	3	24	-79.74	356.69	86.69	10.26
130	3.29	17	-76.47	353.59	83.59	13.53
140	7.07	9	-70.2	348.74	78.74	19.8
150	6.02	16	-68.58	328.94	58.94	21.42
160	5.73	14	-67.82	313.22	43.22	22.18
170	4.09	23	-68.29	294.37	24.37	21.71
180	3.66	27	-66.36	289.93	19.93	23.64
190	3.15	29	-63.66	280.35	10.35	26.34
200	3.17	32	-61.54	289	19	28.46
210	2.62	29	-59.37	302.05	32.05	30.63
220	2.41	30	-57.36	312.04	42.04	32.64
230	2.73	29	-55.83	317.91	47.91	34.17
240	3.44	32	-55.95	327.1	57.1	34.05
250	4.21	35	-57.45	337.37	67.37	32.55
260	4.91	26	-55.73	338.9	68.9	34.27
270	4.08	28	-49.83	343.43	73.43	40.17
280	2.39	57	-45.12	347.58	77.58	44.88
290	1.69	67	-43.03	346.71	76.71	46.97
300	2.14	36	-41.65	349.2	79.2	48.35
310	4.71	20	-39.92	352.39	82.39	50.08
320	8.63	10	-34.2	348.85	78.85	55.8
330	10.08	8	-28.12	342.39	72.39	61.88
340	11.39	5	-19.12	335.22	65.22	70.88
350		1	-14	332	62	76
360		1	-14	332	62	76
390	9.94	5	-3.81	321.27	51.27	86.19
400	6.68	7	-3.15	320.62	50.62	86.85
410	8.13	11	-7.19	326.21	56.21	82.81
420	6.98	16	-14.08	337.87	67.87	75.92
430	5.14	11	-18.75	345.69	75.69	71.25
440		1	-5.3	6.5	96.5	84.7
450	26.47	3	0.93	25.26	295.26	-90.93
460	15.53	3	7.38	39.23	309.23	-97.38
470	7.56	6	22.44	52.14	322.14	-112.44
480	8.45	5	24.13	52.81	322.81	-114.13
490		1	52	111	21	-142
500		1	52	111	21	-142
510		1	52	111	21	-142
530		1	58.4	122.5	32.5	148.4
