tab	pmag_results
vgp_lat	vgp_lon	average_age
86.4	116.1	0.5
84.3	177.7	8
84.1	71.2	11.5
77.8	130.8	24
80.8	-178	34
83	155	49.5
82	158	51
74	139	52
78	-173	53.5
76	160	55
82	-180	55
74	171	58
81	179	59
77	175	59.5
70	163	59.5
71.4	154.7	59.5
72	168	59.5
72	165	59.5
73	156	74
74	161	86
74	148	86
68	149	89.5
76	-179	93
74	-177	140
78	148	156.5
70	147	157
78	130	158
72	132	159
72	150	159
72	150	162.5
63	120	168
63	120	178
69	103	179
71	96	184
77	135	192
65	144	198
61	79	198
51	105	201
55	100	201
50	112	208
50	128	215
50	125	221
49	131	226
53	123	234
54	141	234
49	146	239
59	146	242
43	146	243
53	164	243
49	168.2	246
50.6	165.6	249
50	163	251
51	161	255
46	147	255
47	151	261
49	163	261
51	144	264
47	156	264
51.5	142	264
49	154	264
53	151	264
51	165	275
54	172	279
47.8	137.7	279
41	172	279
47	157	280
42	166	280
37	161	280
38	166	281
44.6	157.4	281
47	157	281
41	165	285
38	166	285
42	169	285
40	166	285
43	172	285
44	170	285
37	160	285
42	174	285
49	162	285
40	172	285
44	-176	285
43	165	285
48	163	286
50	150	286
42	173	286
49	176	286
41.5	160	287
46	167	291
41	169	291
32	174	291
42	166	293
38	168	294
42	168	294
47	168	294
37	174	294
44	159	294
35.4	166.8	294
47.1	157.1	294
32.9	167.1	294
37.1	170	295
43	174	296
41	162	297
39	161	297
42.5	159.6	297
31	174	299
49	169	303
38	163	305
38.3	174	305
14.3	155.9	335
14.4	138.1	337
