tab	pmag_results
average_age	vgp_lat	vgp_lon
0	82.6045792386	217.59320194
10	83.1055057895	215.621158432
20	82.553470538	197.283947355
30	80.2369099164	186.745083138
40	80.2336928613	183.928924474
50	77.6756713673	173.3484824
60	76.0706457967	181.170993895
70	75.5450449975	193.160322058
80	76.1861572769	184.659522183
90	76.8310560223	186.006838381
100	77.6675146266	186.502673655
110	75.0334795336	199.26711183
120	72.5689484386	198.379502476
130	69.8919160058	192.543939054
140	67.3158479251	174.956742947
150	68.7423744527	147.080134562
160	70.9495808235	135.580539323
170	73.946752005	126.832456898
180	74.1887431669	114.129871804
190	70.8823097677	85.4306477792
200	66.4284177552	88.5704439465
