tab	pmag_results
average_age	vgp_lat	vgp_lon
0.5	83.8937640694	211.097873181
8	78.9318700857	203.189130797
11.5	87.4516787163	244.045909063
24	79.9313271316	151.136771168
34	75.937596871	194.424843962
49.5	80.1403533123	189.217305962
51	79.2333013925	186.005671998
52	75.7072174477	147.699905263
53.5	73.07135833	191.887763345
55	74.4555162816	169.65847888
55	77.0743702499	196.51197004
58	71.3100158033	174.665741945
59	76.3788228215	193.315893301
59.5	73.4648445315	182.328327751
59.5	68.7475963109	163.112227692
59.5	71.1752034742	157.585651937
59.5	69.8968762697	169.649983587
59.5	70.2940098416	167.189532184
74	72.4136406734	161.070707479
86	72.6066566747	166.813441049
86	74.409075741	155.902100604
89.5	68.9027212512	148.170882022
93	71.9165417667	184.846792363
140	69.8881709472	183.651684586
156.5	77.6626233608	165.620457259
157	71.0211113755	148.632714588
158	80.1917971658	151.232792508
159	74.9933138646	136.737674763
159	72.3795450709	154.251287705
162.5	72.3795450709	154.251287705
168	68.260053226	112.462268373
178	68.260053226	112.462268373
179	75.9417016738	96.1695540996
184	78.5065613216	88.1186328836
192	78.7254370368	151.97581314
198	66.8399407822	140.3260841
198	69.3689330243	58.1304927458
