tab	pmag_results
vgp_lat	vgp_lon	average_age
78	124	1.5
86	-60	1.5
76	-6	5.5
81	45	15.5
87	9	22.5
76	-150	23
81	151	23.5
80	163	26
80	135	27
82	143	30
83	136	30
80	-175	37
86	118	40
84	144	44
86	-116	44.5
83	154	46
79	146	46
72	162	47
86	-116	47
78	128	51
77	146	51
82	170	51
68	-171	57
76	148	61
82	-179	63
77	-159	63
72	-177	63
81	-174.9	64
70	-143	71
70	177	72
83	-159	76
70	-152	80
80	-170	81
74	-167	100
72	-163	100
77	140	103
72	-177	111
77	-175	112
76	-151	113
74	-150	120
75	175	121
72	-169	122
71	-172	122
66	-152	122
70	-165	125
67	-148	128
58	-157	144
64	166	147
64	161	148
57	148	149
59	139	151
52	138	159
64	121	159
59	125	172
65	103	175
76	85	183
73	89	190
59	78	192
73	98	193
66	96	194
63	83	195
65	87	198
60	62	199
62	55	199
60	69	200
67	69	200
